,shopping_frequency,tran_amount_max,tran_amount_mean,date_range_days
4315,19,103,70.15789473684211,1298
3187,19,89,62.05263157894737,1102
3870,12,86,62.833333333333336,1112
2405,24,104,68.91666666666667,1394
4077,28,99,69.42857142857143,1242
4888,13,100,70.84615384615384,1074
3882,18,100,67.55555555555556,1320
2318,15,104,67.06666666666666,1202
3518,10,101,70.4,900
4343,20,96,67.45,1280
1092,18,105,71.77777777777777,1331
4808,20,105,70.0,1191
124,22,105,75.81818181818181,1354
4890,19,102,78.94736842105263,1300
5810,12,79,55.416666666666664,965
6726,13,73,36.92307692307692,1089
6487,17,73,38.1764705882353,1241
4909,19,103,71.05263157894737,1304
4966,19,102,61.578947368421055,1371
4651,21,103,69.57142857142857,1062
3592,20,103,69.0,1352
598,22,102,71.68181818181819,1071
75,22,105,70.86363636363636,1376
1339,16,105,73.0625,1299
1416,17,102,66.58823529411765,1079
1533,14,91,61.285714285714285,1350
2119,19,103,69.15789473684211,1256
3955,27,102,68.77777777777777,1361
4003,22,94,59.0,1270
2716,28,103,73.39285714285714,1188
149,26,104,74.73076923076923,1284
2882,19,105,67.05263157894737,1342
3765,16,104,73.5,1386
453,17,102,67.47058823529412,1269
6643,21,75,50.095238095238095,1271
1871,23,104,66.26086956521739,1363
6853,9,79,54.22222222222222,1161
808,28,102,69.25,1342
2498,28,100,68.21428571428571,1347
3221,28,98,62.892857142857146,1227
3667,23,103,69.34782608695652,1224
1554,18,105,73.38888888888889,1175
1119,18,105,77.16666666666667,1336
4989,21,105,69.19047619047619,1318
810,20,105,70.9,1112
1129,21,104,73.33333333333333,1317
834,22,103,71.86363636363636,1359
4634,17,101,70.58823529411765,1242
5296,11,76,49.90909090909091,1035
6586,9,65,32.55555555555556,1070
3534,26,103,68.15384615384616,1094
1235,18,104,70.38888888888889,1365
1225,21,92,69.23809523809524,1335
1665,20,103,72.85,1164
5638,18,78,52.166666666666664,1314
4283,20,105,69.1,1240
4629,24,103,74.45833333333333,1364
5220,23,79,48.17391304347826,1239
1656,18,103,72.55555555555556,1202
4823,18,104,71.0,1160
3090,17,92,68.82352941176471,1352
1027,21,105,76.57142857142857,1336
6549,16,73,41.5,1230
2124,15,102,66.33333333333333,1340
349,23,99,68.1304347826087,1370
452,16,103,81.5,1284
662,25,105,70.24,1338
172,24,104,76.5,1298
1405,15,105,61.2,1311
1543,27,105,70.22222222222223,1347
4450,17,105,76.47058823529412,1356
422,20,104,68.95,1312
1869,18,103,76.05555555555556,1232
6871,14,75,44.92857142857143,1363
881,19,98,61.26315789473684,1168
4306,16,104,67.9375,1328
1253,15,96,66.26666666666667,1179
3759,26,105,77.15384615384616,1308
6073,10,79,46.9,1135
2633,17,105,69.29411764705883,1232
3968,18,95,67.16666666666667,1106
6417,12,77,51.5,1316
2481,23,104,71.69565217391305,1254
102,19,105,67.84210526315789,1314
2284,17,87,64.82352941176471,1319
4207,21,101,66.85714285714286,1121
6532,16,76,50.125,1069
4458,26,102,65.34615384615384,1201
3612,17,97,61.411764705882355,1266
6018,16,75,47.8125,1284
3341,19,101,72.94736842105263,1351
3024,24,105,67.54166666666667,1177
4180,27,93,68.18518518518519,1310
5079,17,76,36.8235294117647,1315
135,28,100,63.32142857142857,1332
1965,29,103,68.17241379310344,1263
3651,21,102,65.80952380952381,1329
3849,21,102,65.0,1312
6193,13,72,41.61538461538461,1337
4593,13,102,77.84615384615384,1034
3454,15,98,68.0,1245
2283,11,102,57.90909090909091,1355
3475,22,104,75.31818181818181,1253
3450,14,104,68.92857142857143,1286
4230,25,105,63.04,1387
6381,16,77,42.375,1299
2053,30,105,73.4,1278
807,20,100,62.8,997
462,18,98,56.55555555555556,1382
879,22,102,76.22727272727273,1383
5606,12,72,41.25,837
2728,25,101,62.32,1229
5183,15,79,52.53333333333333,1353
2666,31,103,66.29032258064517,1355
2522,15,99,67.2,1113
799,24,104,69.45833333333333,1305
354,17,99,70.0,1314
5489,18,79,44.111111111111114,1290
1073,15,85,65.86666666666666,1175
6233,17,78,49.35294117647059,1385
5439,10,70,43.3,1098
144,19,100,68.63157894736842,1150
380,19,101,71.47368421052632,1277
1340,20,103,64.55,1281
2306,17,105,70.58823529411765,1300
4258,20,102,62.9,1107
121,21,104,65.42857142857143,983
1979,14,95,62.92857142857143,1084
1360,19,98,64.78947368421052,1338
418,10,91,62.6,1119
3483,19,101,72.42105263157895,1198
5426,16,72,45.9375,1138
1514,12,104,77.16666666666667,1060
4086,26,105,69.26923076923077,1371
2208,14,103,66.28571428571429,1268
2069,22,105,72.4090909090909,1177
1945,13,99,71.07692307692308,1262
555,20,103,65.65,1246
1912,24,105,72.41666666666667,1218
6619,15,77,43.6,1297
3213,16,105,79.625,1281
1485,21,105,70.19047619047619,1239
4907,21,94,74.0952380952381,1241
1272,21,97,63.0,1295
6452,10,77,49.5,1337
1411,17,102,67.6470588235294,1291
4674,19,103,66.21052631578948,1329
6289,10,78,42.0,1269
1471,15,103,65.8,1250
2184,24,101,65.0,1329
5543,9,70,47.0,1336
1864,14,104,64.07142857142857,1192
5826,19,68,35.26315789473684,1331
4030,19,98,69.63157894736842,1391
5582,12,79,48.0,1144
5009,17,78,49.05882352941177,1345
2252,15,103,72.13333333333334,1311
2755,15,90,64.6,903
6466,15,65,37.733333333333334,1332
4035,18,105,66.5,1279
4898,16,104,73.0,1253
3125,21,105,63.857142857142854,1323
6471,9,77,47.22222222222222,1237
6385,12,70,31.166666666666668,1022
1268,9,105,79.66666666666667,1257
414,19,102,69.6842105263158,1330
4080,21,105,70.19047619047619,1339
2404,14,103,67.21428571428571,1233
654,19,100,56.1578947368421,1273
1670,21,105,75.47619047619048,1175
5144,11,64,32.90909090909091,1085
2970,22,101,73.22727272727273,1392
2662,18,105,66.61111111111111,938
6455,12,71,47.416666666666664,1339
3395,18,100,67.66666666666667,1280
773,24,104,74.20833333333333,1241
2351,21,101,71.42857142857143,1223
589,18,95,66.11111111111111,1153
6729,5,74,36.2,1155
2683,26,103,72.5,1360
3323,16,102,66.0,1224
5947,18,73,44.55555555555556,1268
4387,14,96,74.92857142857143,1315
2646,22,103,67.86363636363636,1105
701,25,105,70.28,1218
4275,20,101,70.8,1227
4394,13,99,76.3076923076923,1194
4677,16,103,66.6875,1369
677,16,104,74.5,1289
2627,25,101,66.28,1345
4617,20,104,74.75,1246
6475,12,79,42.833333333333336,1296
4048,21,105,72.66666666666667,1381
3915,22,105,72.0909090909091,1391
693,31,102,66.96774193548387,1302
1513,25,104,70.48,1257
2031,23,104,62.26086956521739,1309
5968,10,74,47.4,1007
6052,11,69,51.72727272727273,1102
110,21,104,75.47619047619048,1355
6723,19,76,45.73684210526316,1101
2860,27,105,72.44444444444444,1370
3047,15,103,72.06666666666666,1150
5926,10,72,50.4,1264
3194,18,100,63.111111111111114,1242
3685,21,105,75.0952380952381,1367
856,22,105,64.95454545454545,1150
3554,22,102,62.5,1231
4525,20,102,79.45,1333
2571,21,103,73.0952380952381,1359
2413,17,101,74.6470588235294,1281
2622,20,100,67.75,1148
4840,18,103,68.22222222222223,1289
1876,22,105,70.13636363636364,1357
3078,18,100,58.166666666666664,1233
3838,12,102,71.91666666666667,1365
5909,11,76,52.36363636363637,779
4914,15,94,70.66666666666667,1017
2942,27,105,62.629629629629626,1363
1468,20,103,59.35,1148
5066,21,75,32.57142857142857,1285
6765,18,72,44.611111111111114,1383
3405,28,103,71.42857142857143,1246
5081,10,79,56.5,1068
2804,15,104,76.93333333333334,1189
107,21,100,68.9047619047619,1204
29,25,105,71.12,1259
3218,30,96,66.33333333333333,1237
2107,23,105,71.91304347826087,1264
2585,21,105,72.42857142857143,1195
4279,19,103,71.36842105263158,1266
751,23,104,71.08695652173913,1324
3044,12,105,83.08333333333333,1136
584,19,100,69.73684210526316,1082
1220,16,98,56.8125,1033
2829,23,103,68.47826086956522,1135
4393,20,104,56.35,1312
4938,11,105,79.45454545454545,1363
6426,13,79,53.23076923076923,1097
548,24,102,72.70833333333333,1316
5330,13,78,50.69230769230769,1377
2310,14,96,66.42857142857143,1089
6404,11,68,41.90909090909091,1344
5193,13,77,45.0,1165
2206,19,105,75.63157894736842,1140
6635,15,68,44.13333333333333,1290
6738,12,71,45.5,1276
4837,18,105,78.11111111111111,1200
1918,23,99,68.65217391304348,1318
344,20,102,68.15,1165
4233,20,105,78.35,1300
5747,13,79,56.0,973
1575,28,103,61.82142857142857,1358
1859,16,98,64.3125,1196
6458,6,67,49.0,1257
2926,17,105,74.6470588235294,1228
4456,21,94,62.333333333333336,1301
5830,14,73,38.857142857142854,1274
4965,19,105,69.26315789473684,1296
5867,12,75,52.416666666666664,1257
90,20,103,66.55,1153
2457,23,99,72.52173913043478,1331
4248,15,105,72.2,1296
1916,31,105,71.41935483870968,1312
5010,12,78,55.75,1294
2486,20,95,69.9,1211
624,24,100,68.875,1219
69,27,103,70.11111111111111,1262
889,21,102,60.95238095238095,1260
4787,13,100,64.07692307692308,1362
5223,9,78,48.0,1082
6316,12,79,51.5,885
4534,20,97,63.6,1317
6808,16,78,46.625,1339
5668,10,74,47.3,1314
947,25,103,72.24,1268
877,19,105,67.6842105263158,1386
3358,24,103,70.33333333333333,1283
6429,18,75,45.5,1193
293,26,105,74.73076923076923,1302
3114,21,105,79.80952380952381,1028
1872,29,104,67.41379310344827,1297
445,30,104,66.4,1276
4512,15,104,78.53333333333333,1266
1921,14,99,70.07142857142857,1225
6878,13,75,47.15384615384615,1240
6825,13,75,53.76923076923077,1274
5074,12,79,49.666666666666664,1265
4586,21,96,72.71428571428571,1201
4215,12,105,78.16666666666667,1219
4081,24,103,66.08333333333333,1185
4575,21,100,72.19047619047619,1314
4951,16,105,73.0625,1349
4920,11,105,70.36363636363636,1049
4814,15,99,73.33333333333333,1115
367,20,105,78.35,1289
5886,16,79,39.8125,1343
6371,10,76,49.2,1088
2664,23,105,73.82608695652173,1319
5804,18,78,46.22222222222222,1353
3313,14,105,59.57142857142857,1275
1894,24,104,72.16666666666667,1377
6312,13,79,42.92307692307692,1207
3575,24,100,71.83333333333333,1146
5538,13,79,59.30769230769231,1140
3149,12,105,64.75,1150
3400,23,97,68.47826086956522,1357
1775,25,104,61.08,1342
4857,24,105,76.04166666666667,1188
4382,18,104,67.55555555555556,1182
2885,19,99,69.63157894736842,1254
1803,24,103,72.875,1255
1186,21,105,74.66666666666667,1274
2842,23,104,75.56521739130434,1382
4983,19,99,64.0,1367
2687,36,105,69.80555555555556,1223
2763,22,98,66.36363636363636,1271
5570,10,67,46.9,1214
6739,12,74,53.0,1150
151,14,104,78.28571428571429,1323
3862,19,104,67.0,1221
1033,20,98,68.95,1377
1383,17,104,62.76470588235294,1351
915,25,103,65.92,1308
1305,18,102,68.61111111111111,1244
4706,21,102,68.47619047619048,1119
5853,11,75,48.09090909090909,1227
4874,22,102,68.31818181818181,1302
509,26,98,72.84615384615384,1167
2398,23,105,69.69565217391305,1295
4932,26,104,71.11538461538461,1384
3978,21,103,73.9047619047619,1312
4176,14,101,69.42857142857143,1344
1941,15,105,87.4,1198
6003,15,79,49.666666666666664,1358
748,16,101,66.375,1099
2173,21,105,77.0952380952381,1167
3903,22,101,64.68181818181819,1183
1801,21,105,70.95238095238095,1151
1310,20,101,71.75,1321
1611,21,101,68.85714285714286,1319
1839,32,103,74.4375,1199
911,17,104,71.29411764705883,1124
6491,12,76,40.416666666666664,1175
6196,14,65,39.142857142857146,1318
2271,26,105,67.84615384615384,1311
3796,24,101,76.75,1211
4985,19,103,79.10526315789474,1260
2572,15,98,67.2,667
6406,15,73,46.2,1246
471,25,105,76.76,1342
6802,21,77,47.142857142857146,1157
6020,10,72,40.6,1210
5799,16,75,43.375,1305
4500,16,103,68.6875,1081
6502,14,79,42.142857142857146,1362
3658,18,101,63.0,1166
896,21,105,68.66666666666667,1368
5213,15,77,56.0,1173
4190,27,101,74.66666666666667,1307
1773,28,104,63.607142857142854,1290
6033,12,76,39.25,1377
251,24,105,68.0,1179
1209,20,101,78.0,1116
5865,12,76,39.083333333333336,1170
3721,19,103,66.42105263157895,1097
2820,20,101,73.3,1293
6792,17,75,43.294117647058826,1232
5652,12,72,44.0,881
1128,13,100,74.84615384615384,1124
2775,18,103,75.88888888888889,1328
5613,17,75,41.588235294117645,1185
1593,17,105,74.58823529411765,1146
5402,10,77,48.4,1112
3825,16,105,72.0,1263
57,18,104,65.27777777777777,1173
1699,17,96,65.29411764705883,1255
1322,26,104,67.15384615384616,1294
176,17,92,66.17647058823529,1121
3058,15,96,67.46666666666667,1249
5474,13,77,41.84615384615385,1129
2876,20,101,67.5,1300
6844,20,79,40.35,1283
5612,11,63,38.09090909090909,1249
292,28,104,67.85714285714286,1346
1142,21,105,63.38095238095238,1270
3337,19,99,66.84210526315789,1014
3143,28,104,70.85714285714286,1160
183,22,101,67.5909090909091,1353
1170,21,97,69.14285714285714,1252
3438,24,105,76.33333333333333,1246
2505,22,101,73.0,1281
4554,10,98,67.3,1235
4239,22,91,60.45454545454545,1339
4438,23,105,72.91304347826087,1169
1086,24,105,70.20833333333333,1293
3080,21,104,63.333333333333336,1312
4848,9,98,66.44444444444444,735
1172,29,104,75.13793103448276,1182
2862,17,103,72.94117647058823,1265
6507,9,62,36.333333333333336,1276
2937,22,104,60.09090909090909,1289
4922,25,102,66.4,1400
2057,14,105,75.78571428571429,1316
4359,14,99,64.85714285714286,1215
5818,16,77,44.5625,1284
3824,25,103,66.76,1319
2229,15,105,64.66666666666667,1250
2347,21,96,64.80952380952381,1237
2991,28,101,71.32142857142857,1350
613,27,105,65.85185185185185,1321
3792,24,105,60.666666666666664,1294
2807,21,105,70.38095238095238,1275
2510,24,104,73.33333333333333,1269
6550,16,79,49.3125,1368
1430,17,105,75.47058823529412,1323
3927,25,103,66.92,1282
1748,21,104,64.57142857142857,1191
6207,14,76,45.42857142857143,1079
505,27,101,66.07407407407408,1187
415,19,104,62.473684210526315,1343
1893,23,104,75.65217391304348,1334
272,17,92,56.705882352941174,1253
2825,16,104,71.8125,1233
1706,29,103,69.58620689655173,1299
2846,23,103,66.69565217391305,1175
6658,16,78,50.75,1222
4093,17,98,69.70588235294117,1230
2227,26,104,75.61538461538461,1348
5756,12,74,40.5,1309
4714,24,103,69.58333333333333,1226
106,24,104,70.29166666666667,1331
1344,17,103,71.70588235294117,1279
6663,15,77,45.53333333333333,1334
3753,26,101,74.65384615384616,1297
5165,13,68,41.84615384615385,1287
2833,18,105,73.11111111111111,1269
4894,20,100,66.85,1277
952,16,104,69.4375,1220
2045,22,105,76.63636363636364,1285
4877,20,103,73.2,1367
2022,19,105,63.31578947368421,1241
1504,9,95,63.22222222222222,1384
5234,10,77,52.7,1154
6850,19,79,42.0,1253
4339,16,98,69.6875,1227
2304,20,102,72.05,1337
6831,9,71,51.55555555555556,873
1121,23,103,80.30434782608695,1376
3662,18,105,67.11111111111111,1144
5329,12,69,34.916666666666664,1153
3126,17,105,74.70588235294117,1293
1024,13,94,66.23076923076923,1217
6050,13,73,54.0,1292
2868,14,100,71.07142857142857,1329
3016,22,105,79.13636363636364,1382
2519,22,101,67.31818181818181,1368
5931,11,75,42.90909090909091,1297
416,24,103,69.16666666666667,1309
6054,14,79,45.07142857142857,1182
6120,15,77,51.6,1146
3813,21,105,62.666666666666664,1281
3209,16,100,62.9375,1131
564,28,105,74.57142857142857,1326
478,16,99,60.25,1226
2357,22,104,68.9090909090909,1298
5023,12,77,47.083333333333336,916
1203,16,104,63.875,1160
1224,22,104,76.27272727272727,1364
142,21,105,76.14285714285714,1394
3699,20,102,69.95,1096
5448,11,76,41.72727272727273,1151
5887,8,78,55.375,966
5482,9,67,45.44444444444444,1269
2189,25,100,66.72,1260
6865,13,78,50.84615384615385,1369
2873,20,101,65.85,1353
605,14,103,68.78571428571429,1124
1194,21,104,69.23809523809524,1296
4963,18,101,64.88888888888889,1323
2094,18,99,69.77777777777777,1395
5205,9,79,54.22222222222222,817
4538,20,90,58.45,1357
1756,20,105,75.35,1322
497,20,94,68.75,1201
5996,9,66,42.0,1113
2893,20,105,65.65,1152
6769,15,75,41.0,1159
3362,25,102,63.92,1249
6555,6,77,51.166666666666664,756
2138,18,105,67.61111111111111,1325
721,18,103,63.27777777777778,1298
6727,15,79,48.4,1208
1025,25,105,67.44,1267
5007,11,77,42.18181818181818,923
1295,25,104,69.28,1272
3379,12,104,78.5,1128
1496,16,101,62.0625,1324
2272,21,103,72.66666666666667,1376
1520,18,102,64.66666666666667,1213
6582,16,74,42.125,1156
4383,22,104,73.77272727272727,1308
2002,18,94,65.16666666666667,705
2550,23,105,74.82608695652173,1347
5673,19,78,45.578947368421055,1331
2887,23,105,74.04347826086956,1259
5157,13,77,43.23076923076923,1267
5548,18,79,51.0,1316
5012,11,78,47.27272727272727,1241
1302,19,104,78.52631578947368,1332
108,9,103,80.0,1202
1754,22,105,67.63636363636364,1316
1351,17,104,66.52941176470588,1339
6158,14,74,37.785714285714285,1144
6704,15,73,49.2,1290
2957,17,90,66.29411764705883,1199
6799,13,79,54.38461538461539,1267
3494,20,105,73.15,1141
4141,17,105,68.41176470588235,1240
931,21,103,67.61904761904762,1297
336,16,105,77.4375,1339
6034,13,69,44.15384615384615,1307
2688,16,94,63.875,1284
5113,10,71,46.5,1212
6846,9,78,33.55555555555556,1179
1649,17,103,71.41176470588235,1338
937,22,105,65.77272727272727,1263
5920,11,69,41.09090909090909,1129
1580,28,102,68.32142857142857,1322
2705,29,104,72.20689655172414,1384
387,26,105,72.26923076923077,1270
3800,19,105,81.3157894736842,1386
2778,20,102,75.7,1369
3437,18,103,71.83333333333333,1213
2470,20,105,72.95,906
3487,24,103,68.25,1210
724,26,102,73.26923076923077,1052
765,25,105,67.24,1269
286,20,101,67.7,1272
5939,12,69,37.583333333333336,1143
3626,18,102,69.88888888888889,1294
4347,16,99,77.875,1152
307,27,105,70.92592592592592,1301
4570,20,101,70.15,1303
1860,19,103,68.47368421052632,1024
5558,9,55,39.111111111111114,701
5689,11,73,49.63636363636363,1166
2781,18,104,71.61111111111111,1320
5360,16,77,54.125,1374
2447,23,104,66.78260869565217,1350
5252,21,73,43.42857142857143,1305
6238,19,76,52.1578947368421,1368
1791,17,103,75.82352941176471,1212
6348,15,73,38.0,1212
2117,27,104,64.96296296296296,1352
1634,15,98,68.2,1389
6710,11,68,40.18181818181818,1185
4836,16,101,72.25,1304
5840,11,78,48.27272727272727,1214
184,21,105,71.66666666666667,1379
2576,27,104,74.5925925925926,1384
71,26,104,75.65384615384616,1368
4072,28,99,67.10714285714286,1381
711,16,104,74.875,1153
421,23,97,69.82608695652173,1238
1020,14,102,69.5,1215
3001,18,105,68.94444444444444,1277
4449,19,105,58.63157894736842,1268
6740,10,76,41.1,949
737,11,102,65.0909090909091,1391
2423,19,105,67.42105263157895,1301
1260,22,104,71.31818181818181,1346
1666,16,101,72.3125,1307
4189,23,97,62.08695652173913,1376
6365,11,79,42.54545454545455,1117
2997,20,101,64.2,1376
3268,22,98,66.81818181818181,1295
2303,22,105,76.45454545454545,1316
6638,12,75,39.666666666666664,975
6559,10,78,46.8,1193
2902,29,105,73.55172413793103,1203
2087,24,104,64.25,1337
1210,18,98,75.55555555555556,1364
1695,19,101,69.26315789473684,1326
4401,25,103,66.56,1144
6468,13,78,48.23076923076923,1148
1095,26,100,69.92307692307692,1315
3964,21,100,65.28571428571429,1344
6177,11,70,44.54545454545455,939
4578,19,105,69.47368421052632,1322
1630,24,105,65.20833333333333,1260
6059,9,76,44.77777777777778,1284
1881,16,105,74.375,1263
3326,24,103,71.58333333333333,1382
4606,16,101,74.0,1366
1612,14,104,83.28571428571429,1094
978,13,102,72.23076923076923,1180
2963,21,103,79.04761904761905,1214
4884,21,102,74.14285714285714,1389
5372,10,75,43.2,1157
848,19,98,74.94736842105263,1179
2799,31,105,71.90322580645162,1319
2939,17,104,71.82352941176471,1357
6309,17,78,45.8235294117647,1144
2077,24,104,68.83333333333333,1286
47,22,104,65.4090909090909,1329
6874,16,78,38.125,1292
1350,20,105,71.55,1064
3971,26,104,75.92307692307692,1201
446,23,99,65.21739130434783,1286
1743,19,102,70.84210526315789,1174
3956,22,102,68.18181818181819,1335
6653,13,78,49.53846153846154,1283
4012,28,102,70.46428571428571,1307
6484,8,73,43.0,1191
3425,17,105,69.11764705882354,1197
4398,19,103,74.47368421052632,1260
1294,15,103,70.13333333333334,1117
5706,13,68,28.846153846153847,1179
5545,13,79,44.38461538461539,1268
6431,14,79,42.0,1302
4917,19,102,63.36842105263158,1320
4101,26,105,71.0,1325
1112,14,105,76.64285714285714,1178
776,23,105,75.6086956521739,1316
6509,18,77,35.333333333333336,1132
4672,18,102,72.77777777777777,1235
2821,24,103,70.58333333333333,1219
2301,13,105,72.0,1350
4633,18,101,70.83333333333333,1290
5492,17,77,46.470588235294116,1284
1851,16,99,69.3125,1286
1963,19,105,66.36842105263158,1230
3246,20,105,71.2,1236
3767,18,96,66.38888888888889,1324
6837,15,78,50.666666666666664,1189
485,23,105,70.04347826086956,1313
3570,21,105,63.285714285714285,1241
5277,14,67,32.785714285714285,1377
30,22,104,83.95454545454545,1224
1879,22,105,71.27272727272727,1372
2223,22,98,75.04545454545455,1394
4960,15,104,71.73333333333333,1303
3492,29,104,69.24137931034483,1346
4697,18,105,67.22222222222223,1163
3166,23,100,64.26086956521739,1382
636,22,105,68.0909090909091,1214
6032,5,68,44.0,1086
2287,17,104,70.94117647058823,1084
1083,24,102,73.25,1370
861,10,95,66.4,1190
3012,20,102,71.75,1261
903,21,100,73.42857142857143,1184
2732,22,102,70.18181818181819,1272
109,19,104,72.21052631578948,1215
4091,27,103,68.51851851851852,1306
4974,18,105,70.77777777777777,1248
2432,20,103,72.2,1277
2251,23,104,68.26086956521739,1078
5781,11,63,44.90909090909091,1256
2166,27,100,69.11111111111111,1300
3710,17,101,65.76470588235294,1354
1831,19,100,68.73684210526316,939
6234,20,74,47.95,1283
782,21,103,69.33333333333333,1383
6728,13,69,38.0,1132
6842,11,77,40.45454545454545,1277
5696,10,76,43.7,1230
6669,13,78,45.53846153846154,1325
1825,20,102,69.7,1324
1094,18,93,71.72222222222223,1384
5762,12,67,44.5,1065
2986,27,105,78.0,1336
5121,13,74,50.46153846153846,968
4169,23,105,66.82608695652173,958
2476,25,103,72.6,1365
5026,15,77,47.06666666666667,1366
1654,27,91,63.18518518518518,1341
5640,18,62,38.22222222222222,1300
5273,13,78,48.07692307692308,1284
2268,15,105,74.26666666666667,1131
5785,12,75,45.333333333333336,1107
4817,18,102,73.05555555555556,1353
4731,20,104,70.3,1278
6818,15,79,40.4,1040
3807,13,94,66.38461538461539,862
4174,8,104,72.375,718
6682,14,79,50.714285714285715,1025
2484,22,103,72.77272727272727,1374
1204,33,105,70.60606060606061,1264
2540,19,105,71.6842105263158,1235
5527,16,79,46.3125,1076
6364,14,75,42.285714285714285,1182
6691,13,69,45.76923076923077,1200
6851,9,78,39.55555555555556,1286
1770,11,103,71.0,1152
829,15,105,69.6,1348
3786,13,86,66.61538461538461,1313
6832,10,60,39.6,1081
627,17,95,70.52941176470588,1299
3980,18,102,66.66666666666667,1338
925,24,104,69.29166666666667,1144
295,28,100,68.42857142857143,1254
1052,17,105,69.6470588235294,1104
2399,20,103,69.5,1319
3544,18,99,71.38888888888889,1343
4365,21,99,73.76190476190476,1345
944,23,105,68.56521739130434,1234
5476,17,70,37.64705882352941,1390
5711,13,78,46.15384615384615,1153
12,18,95,62.611111111111114,1285
1117,23,104,78.69565217391305,1245
5013,8,78,55.875,683
3424,20,98,68.25,1323
3590,25,104,68.6,1309
1319,14,104,70.07142857142857,1193
3781,20,98,64.3,1252
6734,16,76,42.625,1278
6297,8,72,49.875,1155
4058,20,100,66.45,1313
4819,19,102,70.78947368421052,1353
3049,19,104,71.78947368421052,1348
653,14,105,77.07142857142857,1161
2389,27,104,77.14814814814815,1362
5057,10,75,47.1,1132
6705,15,76,41.8,902
4832,13,101,68.76923076923077,900
6721,11,72,35.63636363636363,1316
4774,21,102,66.47619047619048,1131
3912,18,102,67.44444444444444,1188
5231,14,79,50.92857142857143,1164
4828,16,101,68.9375,1243
4773,29,98,68.37931034482759,1337
570,15,102,71.66666666666667,1262
1448,16,105,63.25,1268
4184,21,105,70.23809523809524,1286
3252,12,102,60.5,1112
1745,15,101,73.0,1211
3298,28,105,73.10714285714286,1277
287,26,104,70.46153846153847,1206
1738,17,105,66.52941176470588,1316
5974,19,79,42.68421052631579,1335
3975,15,92,58.266666666666666,1312
5312,15,79,31.0,1226
4096,20,104,68.2,1271
2715,21,102,70.80952380952381,1162
6254,14,79,46.5,1359
1684,18,103,71.05555555555556,1261
4478,20,103,64.5,1206
1338,16,105,77.375,1255
3458,25,104,69.44,1267
6124,11,76,46.18181818181818,1140
2874,18,97,69.55555555555556,1285
5337,14,74,40.07142857142857,1338
5263,13,78,47.46153846153846,1139
4160,19,101,78.26315789473684,1223
2932,20,104,68.5,969
2402,20,104,76.6,1261
3484,19,103,72.78947368421052,1259
1564,24,100,70.54166666666667,1263
5255,16,78,47.625,1264
6480,13,74,35.30769230769231,1324
5733,9,76,46.888888888888886,1154
2185,15,98,65.26666666666667,990
4758,22,105,70.18181818181819,1357
1231,18,103,73.88888888888889,1238
4319,16,95,62.125,1180
1258,21,98,67.61904761904762,1309
1951,14,104,65.64285714285714,1137
